Job,Total Compensation
Water Qualitytech I/II,117766.86
Soft Floor Coverer,41209.83
Health Care Billing Clerk 2,110561.13
Food Service Mgr Administrator,38624.97
Nurse Practitioner,260280.95
Transit Operator,111057.08
Attorney (Civil/Criminal),186781.38
Emp & Training Spec 2,103609.58
Transit Operator,116770.41
Police Officer,83708.17
Transit Supervisor,41410.32
Electrical Transit System Mech,126892.59
"Operating Engineer, Universal",144124.98
Clinical Nurse Specialist,234911.68
Planner 3,135538.11
Health Worker 2,60785.04
General Laborer,101426.81
Electrical Transit System Mech,164957.88
Eligibility Worker,19989.05
Custodial Assistant Supervisor,116198.42
IS Business Analyst-Senior,144858.43
Transit Operator,123651.29
General Laborer,24039.09
Nursing Assistant,135836.04
Physician Assistant,200540.78
Planner 3,105297.9
Deputy Court Clerk III,127013.54
Lieutenant (Police Department),31290.44
Firefighter,184271.49
Transit Traffic Checker,107155.49
Transit Operator,107146.57
Police Officer,33237.52
Chief Stationary Engineer,177666.01
Transit Operator,137999.65
Porter,19599.7
Personnel Analyst,105187.77
Police Officer 2,200014.62
Housekeeper/Food Service Clnr,81365.18
Institution Utility Worker,88147.33
Illustrator And Art Designer,42567.72
PS Aide To Prof,23906.2
Sheriff's Sergeant,204517.33
Nutritionist,67367.97
Senior Personnel Clerk,26557.16
Special Nurse,16877.59
Employment & Training Spec 3,119110.65
Utility Specialist,38594.71
Custodial Supervisor,102681.54
Accountant IV,133586.58
Police Officer,148979.57
IT Operations Support Admn III,130133.96
Police Cadet,18067.04
Health Care Billing Clerk 1,91000.57
Accountant II,116920.69
Registered Nurse,210635.6
Occupational Therapist,38423.68
Nursing Assistant,106646.19
Senior Eligibility Worker,112575.18
Deputy Sheriff,150670.67
Firefighter,184552.33
Public Health Team Leader,118230.31
EMT/Paramedic/Firefighter,251661.25
Deputy Sheriff (SFERS),158340.2
Patient Care Assistant,128854.8
Junior Administrative Analyst,39779.93
Food Service Worker,29481.47
Transit Supervisor,145031.3
Assoc Engineer,162433.83
Registered Nurse,95877.57
Manager III,199419.99
Senior Account Clerk,98837.37
Sheriff's Cadet,78677.64
Licensed Vocational Nurse,94937.28
Transit Supervisor,133005.32
"Stdntdsgntrain1, Arch/Eng/Plng",27024.07
Library Page,56941.08
Parking Control Officer,32602.93
Protective Services Supervisor,89771.78
Nursing Assistant,110946.4
Porter,90984.32
Transit Planner 2,118232.25
Clerk,83653.12
Health Worker 2,92029.69
Transit Operator,42957.57
Transit Operator,32955.19
Survey Associate,138213.45
Pr Administrative Analyst,121111.01
Health Worker 2,94720.77
Chief Atty1 (Civil & Criminal),290710.33
Sheriff's Cadet,54946.99
Custodial Assistant Supervisor,100910.69
Park Section Supervisor,118663.42
Police Officer 3,160692.61
"Insp, Fire Dept",21261.65
Psychiatric Social Worker,135205.04
Police Officer 3,140774.41
Court Interpreter,110720.3
Police Officer 3,46591.85
Senior Personnel Analyst,149762.87
Inspector 3,207934.28
Parking Control Officer,65346.03
Porter,30325.35
Painter,17034.34
Diagnostic Imaging Tech II,161132.01
Contract Compliance Officer 1,139480.6
Patient Care Assistant,92745.5
Supv Biologist,171145.77
"Sr Investigator, OCC",144581.84
Sr Power Generation Tech,179743.83
Industrial Hygienist,148311.78
Permit Technician I,45400.44
Food Service Worker,16575.39
Planner 3,33246.34
Attorney (Civil/Criminal),251180.83
Sr Payroll & Personnel Clerk,110391.29
Sewer Service Worker,57491.85
Utility Plumber Supervisor 1,176859.96
"Captain, Fire Suppression",269775.32
EMT/Paramedic/Firefighter,151961.1
Deputy Court Clerk I,26945.19
Deputy Court Clerk III,32881.34
Porter,101709.22
Porter,94182.48
Transit Operator,38946.92
Manager II,134360.99
Police Officer 3,184658.69
Painter,119844.47
EMT/Paramedic/Firefighter,179372.02
Pr Administrative Analyst,138804.63
IS Business Analyst-Senior,155996.75
Police Officer 3,221010.85
Nurse Practitioner,156165.99
Deputy Court Clerk III,85673.52
Deputy Sheriff,148050.45
Public Relations Assistant,39150.28
Psychiatric Technician,31668.66
IS Business Analyst-Senior,156446.3
Senior Water Services Clerk,84544.53
Library Technical Assistant 2,114406.63
Pr Administrative Analyst,163662.15
Swimming Instructor,19751.81
Psychiatric Technician,92505.47
Diagnostic Imaging Tech II,165580.63
Deputy Sheriff,157023.49
Public Svc Aide-Public Works,17574.08
Special Nurse,34347.97
Painter,117963.2
Senior Eligibility Worker,133674.3
Dietitian,24971.34
Museum Guard,15306.8
Health Worker 2,94279.5
Senior Clerk Typist,93013.26
Special Nurse,55621.92
Porter,66270.34
Transit Operator,134905.98
Asst Engr,56886.57
Transit Operator,127206.57
Transit Operator,115822.29
Police Officer 2,124483.84
Police Cadet,24424.71
"Sr Statnry Eng, Wtr Treat Plnt",166196.72
Custodian,92160.52
Management Assistant,104139.63
Gardener,122090.78
Registered Nurse,182219.98
Electrical Transit System Mech,109764.32
Firefighter,212415.13
Senior Clerk Typist,92537.34
Police Officer 2,55199.24
Public Svc Aide-Public Works,17264.52
Carpenter,123533.29
EMT/Paramedic/Firefighter,249856.07
Registered Nurse,132536.14
Bldg & Grounds Maint Sprv,105913.7
Asphalt Worker,17092.01
Medical Evaluations Assistant,90716.94
Special Nurse,27144.62
Program Specialist,122346.89
Patient Care Assistant,101677.35
Parking Control Officer,120606.77
Librarian 2,133987.37
